id,name,num_users,total_cmt,positive,negative,neutral,average_completion_rate,number of resources,rank_binned,course_classification
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674910,pattern aesthetics and creation,9927,182.0,54.0,9.0,119.0,NaN,41,1,NaN
C_674910,pattern aesthetics and creation,9927,182.0,54.0,9.0,119.0,NaN,41,1,NaN
C_674910,pattern aesthetics and creation,9927,182.0,54.0,9.0,119.0,NaN,41,1,NaN
C_674910,pattern aesthetics and creation,9927,182.0,54.0,9.0,119.0,NaN,41,1,NaN
C_674912,music and health,3689,61.0,19.0,3.0,39.0,NaN,44,NaN,NaN
C_674914,management accounting,5106,67.0,4.0,6.0,57.0,NaN,29,9,NaN
C_674914,management accounting,5106,67.0,4.0,6.0,57.0,NaN,29,9,NaN
C_674914,management accounting,5106,67.0,4.0,6.0,57.0,NaN,29,9,NaN
C_674914,management accounting,5106,67.0,4.0,6.0,57.0,NaN,29,9,NaN
C_674917,securities investment theory and practice,1,NaN,NaN,NaN,NaN,NaN,145,NaN,NaN
C_674920,introduction to logic,32466,943.0,154.0,67.0,722.0,0.8477098465098838,186,1,Very satisfied
C_674920,introduction to logic,32466,943.0,154.0,67.0,722.0,0.8477098465098838,186,1,Very satisfied
C_674920,introduction to logic,32466,943.0,154.0,67.0,722.0,0.8477098465098838,186,1,Very satisfied
C_674921,principles of management,1,NaN,NaN,NaN,NaN,NaN,46,9,NaN
C_674923,administrative professional ability improvement,2310,75.0,6.0,2.0,67.0,NaN,65,9,NaN
C_674923,administrative professional ability improvement,2310,75.0,6.0,2.0,67.0,NaN,65,9,NaN
C_674923,administrative professional ability improvement,2310,75.0,6.0,2.0,67.0,NaN,65,9,NaN
C_674923,administrative professional ability improvement,2310,75.0,6.0,2.0,67.0,NaN,65,9,NaN
C_674926,uncovering the mysteries of the subconscious mind,1,NaN,NaN,NaN,NaN,NaN,111,NaN,NaN
C_674930,18 competencies needed in the workplace,1,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN
C_674931,embedded system theory and technology,2,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN
C_674937,chinese traditional culture and life cultivation,3036,84.0,1.0,0.0,83.0,NaN,101,7,NaN
C_674937,chinese traditional culture and life cultivation,3036,84.0,1.0,0.0,83.0,NaN,101,7,NaN
C_674937,chinese traditional culture and life cultivation,3036,84.0,1.0,0.0,83.0,NaN,101,7,NaN
C_674937,chinese traditional culture and life cultivation,3036,84.0,1.0,0.0,83.0,NaN,101,7,NaN
C_674942,"hello, psychology",1,NaN,NaN,NaN,NaN,NaN,48,NaN,NaN
C_674948,enterprise strategic management,1,NaN,NaN,NaN,NaN,NaN,51,6,NaN
C_674948,enterprise strategic management,1,NaN,NaN,NaN,NaN,NaN,51,6,NaN
C_674948,enterprise strategic management,1,NaN,NaN,NaN,NaN,NaN,51,6,NaN
C_674950,economic geography and the rise and fall of enterprises,4225,69.0,20.0,2.0,47.0,NaN,52,NaN,NaN
C_674959,wisdom and enlightenment from the tao te ching,3706,151.0,37.0,23.0,91.0,0.5322927728944312,179,11,Satisfied
C_674959,wisdom and enlightenment from the tao te ching,3706,151.0,37.0,23.0,91.0,0.5322927728944312,179,11,Satisfied
C_674959,wisdom and enlightenment from the tao te ching,3706,151.0,37.0,23.0,91.0,0.5322927728944312,179,11,Satisfied
C_674959,wisdom and enlightenment from the tao te ching,3706,151.0,37.0,23.0,91.0,0.5322927728944312,179,11,Satisfied
C_674962,"the spatial art of ""dream of red mansions""",3974,21.0,9.0,1.0,11.0,NaN,73,9,NaN
C_674962,"the spatial art of ""dream of red mansions""",3974,21.0,9.0,1.0,11.0,NaN,73,9,NaN
C_674962,"the spatial art of ""dream of red mansions""",3974,21.0,9.0,1.0,11.0,NaN,73,9,NaN
C_674962,"the spatial art of ""dream of red mansions""",3974,21.0,9.0,1.0,11.0,NaN,73,9,NaN
C_674966,the analects of confucius life lesson,2,NaN,NaN,NaN,NaN,NaN,59,NaN,NaN
C_674968,bashu culture,5371,5.0,0.0,0.0,5.0,0.6119402985074627,90,7,Dissatisfied
C_674968,bashu culture,5371,5.0,0.0,0.0,5.0,0.6119402985074627,90,7,Dissatisfied
C_674968,bashu culture,5371,5.0,0.0,0.0,5.0,0.6119402985074627,90,7,Dissatisfied
C_674971,appreciation of gems and jade,9309,123.0,26.0,8.0,89.0,0.7571938313333088,132,1,Very satisfied
C_674971,appreciation of gems and jade,9309,123.0,26.0,8.0,89.0,0.7571938313333088,132,1,Very satisfied
C_674971,appreciation of gems and jade,9309,123.0,26.0,8.0,89.0,0.7571938313333088,132,1,Very satisfied
C_674971,appreciation of gems and jade,9309,123.0,26.0,8.0,89.0,0.7571938313333088,132,1,Very satisfied
C_674971,appreciation of gems and jade,9309,123.0,26.0,8.0,89.0,0.7571938313333088,132,1,Very satisfied
C_674971,appreciation of gems and jade,9309,123.0,26.0,8.0,89.0,0.7571938313333088,132,1,Very satisfied
C_676637,financial analysis and decision-making,2,NaN,NaN,NaN,NaN,NaN,95,1,NaN
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676642,start a new business,7423,251.0,92.0,7.0,152.0,0.8397027369793845,52,1,Satisfied
C_676641,university computer,1,NaN,NaN,NaN,NaN,NaN,165,7,NaN
C_676641,university computer,1,NaN,NaN,NaN,NaN,NaN,165,7,NaN
C_676643,innovation and entrepreneurship psychology,39,1.0,0.0,1.0,0.0,NaN,35,1,NaN
C_676643,innovation and entrepreneurship psychology,39,1.0,0.0,1.0,0.0,NaN,35,1,NaN
C_676643,innovation and entrepreneurship psychology,39,1.0,0.0,1.0,0.0,NaN,35,1,NaN
C_676648,entrepreneurship 101: who are your customers?,4443,59.0,13.0,17.0,29.0,NaN,155,NaN,NaN
C_676649,confucian way of self-cultivation,8461,183.0,83.0,22.0,78.0,NaN,54,1,NaN
C_676649,confucian way of self-cultivation,8461,183.0,83.0,22.0,78.0,NaN,54,1,NaN
C_676649,confucian way of self-cultivation,8461,183.0,83.0,22.0,78.0,NaN,54,1,NaN
C_676649,confucian way of self-cultivation,8461,183.0,83.0,22.0,78.0,NaN,54,1,NaN
C_676651,entrepreneurship 102: what can you do for your customers?,17878,164.0,42.0,20.0,102.0,NaN,34,NaN,NaN
C_676653,the first step to start a successful business: write a good business plan,43,NaN,NaN,NaN,NaN,NaN,24,1,NaN
C_676653,the first step to start a successful business: write a good business plan,43,NaN,NaN,NaN,NaN,NaN,24,1,NaN
C_676653,the first step to start a successful business: write a good business plan,43,NaN,NaN,NaN,NaN,NaN,24,1,NaN
C_676654,mental health education for college students,2,NaN,NaN,NaN,NaN,NaN,67,5,NaN
C_676654,mental health education for college students,2,NaN,NaN,NaN,NaN,NaN,67,5,NaN
C_676656,starting a business,21003,640.0,189.0,58.0,393.0,0.0,174,1,Dissatisfied
C_676656,starting a business,21003,640.0,189.0,58.0,393.0,0.0,174,1,Dissatisfied
C_676656,starting a business,21003,640.0,189.0,58.0,393.0,0.0,174,1,Dissatisfied
C_676656,starting a business,21003,640.0,189.0,58.0,393.0,0.0,174,1,Dissatisfied
C_676656,starting a business,21003,640.0,189.0,58.0,393.0,0.0,174,1,Dissatisfied
C_676656,starting a business,21003,640.0,189.0,58.0,393.0,0.0,174,1,Dissatisfied
C_676658,an introduction to the spirit of the 19th national congress of the communist party of china,9012,101.0,33.0,9.0,59.0,NaN,77,1,NaN
C_676658,an introduction to the spirit of the 19th national congress of the communist party of china,9012,101.0,33.0,9.0,59.0,NaN,77,1,NaN
C_676658,an introduction to the spirit of the 19th national congress of the communist party of china,9012,101.0,33.0,9.0,59.0,NaN,77,1,NaN
C_676658,an introduction to the spirit of the 19th national congress of the communist party of china,9012,101.0,33.0,9.0,59.0,NaN,77,1,NaN
C_676659,the journey of aesthetics,6901,69.0,21.0,16.0,32.0,NaN,85,1,NaN
C_676659,the journey of aesthetics,6901,69.0,21.0,16.0,32.0,NaN,85,1,NaN
C_676659,the journey of aesthetics,6901,69.0,21.0,16.0,32.0,NaN,85,1,NaN
C_676659,the journey of aesthetics,6901,69.0,21.0,16.0,32.0,NaN,85,1,NaN
C_676660,entrepreneurship practice case course,10,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676661,creativity,10349,116.0,46.0,10.0,60.0,NaN,34,4,NaN
C_676662,"life, art and fashion: seven thousand years of chinese clothing",12298,409.0,93.0,8.0,308.0,NaN,130,1,NaN
C_676662,"life, art and fashion: seven thousand years of chinese clothing",12298,409.0,93.0,8.0,308.0,NaN,130,1,NaN
C_676662,"life, art and fashion: seven thousand years of chinese clothing",12298,409.0,93.0,8.0,308.0,NaN,130,1,NaN
C_676662,"life, art and fashion: seven thousand years of chinese clothing",12298,409.0,93.0,8.0,308.0,NaN,130,1,NaN
C_676664,aircraft carriers and carrier-based aircraft of major powers,11833,342.0,80.0,42.0,220.0,0.7823419005237187,98,NaN,NaN
C_676665,the rise and fall of the tang dynasty,1,NaN,NaN,NaN,NaN,NaN,65,1,NaN
C_676670,advanced english writing,1,NaN,NaN,NaN,NaN,NaN,54,7,NaN
C_676670,advanced english writing,1,NaN,NaN,NaN,NaN,NaN,54,7,NaN
C_676670,advanced english writing,1,NaN,NaN,NaN,NaN,NaN,54,7,NaN
C_676671,college chinese literature - appreciation of literature from the northern song dynasty to modern times,1,NaN,NaN,NaN,NaN,NaN,186,1,NaN
C_676678,positive psychology (part 1) virtue and virtue,1,NaN,NaN,NaN,NaN,NaN,46,1,NaN
C_676678,positive psychology (part 1) virtue and virtue,1,NaN,NaN,NaN,NaN,NaN,46,1,NaN
C_676681,marriage and love·workplace·personality,2537,71.0,24.0,8.0,39.0,NaN,25,9,NaN
C_676681,marriage and love·workplace·personality,2537,71.0,24.0,8.0,39.0,NaN,25,9,NaN
C_676681,marriage and love·workplace·personality,2537,71.0,24.0,8.0,39.0,NaN,25,9,NaN
C_676681,marriage and love·workplace·personality,2537,71.0,24.0,8.0,39.0,NaN,25,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676682,liberal arts physics—physics in life,5010,6.0,1.0,0.0,5.0,NaN,67,9,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676683,positive psychology (part 2) self-improvement,34310,1578.0,752.0,128.0,698.0,NaN,65,1,NaN
C_676685,introduction and appreciation of classics,4009,7.0,1.0,2.0,4.0,NaN,58,NaN,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676686,classics and thoughts—humanities tsinghua masters face to face,6263,95.0,30.0,15.0,50.0,NaN,84,1,NaN
C_676687,winning the mobile internet: business model lessons for entrepreneurs,4416,189.0,57.0,6.0,126.0,NaN,83,NaN,NaN
C_676692,imperial examination and chinese culture,21,NaN,NaN,NaN,NaN,NaN,88,5,NaN
C_676692,imperial examination and chinese culture,21,NaN,NaN,NaN,NaN,NaN,88,5,NaN
C_676692,imperial examination and chinese culture,21,NaN,NaN,NaN,NaN,NaN,88,5,NaN
C_676692,imperial examination and chinese culture,21,NaN,NaN,NaN,NaN,NaN,88,5,NaN
C_676697,sun tzu's art of war,8295,59.0,23.0,6.0,30.0,NaN,72,5,NaN
C_676697,sun tzu's art of war,8295,59.0,23.0,6.0,30.0,NaN,72,5,NaN
C_676697,sun tzu's art of war,8295,59.0,23.0,6.0,30.0,NaN,72,5,NaN
C_676697,sun tzu's art of war,8295,59.0,23.0,6.0,30.0,NaN,72,5,NaN
C_676700,basic principles of marxism,10,NaN,NaN,NaN,NaN,NaN,88,1,NaN
C_676700,basic principles of marxism,10,NaN,NaN,NaN,NaN,NaN,88,1,NaN
C_676705,civil law and life,1348,21.0,2.0,1.0,18.0,0.9241773962804006,113,9,Very satisfied
C_676705,civil law and life,1348,21.0,2.0,1.0,18.0,0.9241773962804006,113,9,Very satisfied
C_676705,civil law and life,1348,21.0,2.0,1.0,18.0,0.9241773962804006,113,9,Very satisfied
C_676705,civil law and life,1348,21.0,2.0,1.0,18.0,0.9241773962804006,113,9,Very satisfied
C_676820,history of foreign arts and crafts,8458,198.0,66.0,13.0,119.0,NaN,115,1,NaN
C_676820,history of foreign arts and crafts,8458,198.0,66.0,13.0,119.0,NaN,115,1,NaN
C_676820,history of foreign arts and crafts,8458,198.0,66.0,13.0,119.0,NaN,115,1,NaN
C_676820,history of foreign arts and crafts,8458,198.0,66.0,13.0,119.0,NaN,115,1,NaN
C_676885,early childhood music education and activity guidance,6918,1270.0,354.0,20.0,896.0,NaN,72,NaN,NaN
C_676887,technology innovation management,274,1.0,1.0,0.0,0.0,NaN,9,1,NaN
C_676887,technology innovation management,274,1.0,1.0,0.0,0.0,NaN,9,1,NaN
C_676887,technology innovation management,274,1.0,1.0,0.0,0.0,NaN,9,1,NaN
C_676887,technology innovation management,274,1.0,1.0,0.0,0.0,NaN,9,1,NaN
C_676890,environmental pollution incidents and emergency response,756,1.0,0.0,0.0,1.0,NaN,102,4,NaN
C_676890,environmental pollution incidents and emergency response,756,1.0,0.0,0.0,1.0,NaN,102,4,NaN
C_676890,environmental pollution incidents and emergency response,756,1.0,0.0,0.0,1.0,NaN,102,4,NaN
C_676890,environmental pollution incidents and emergency response,756,1.0,0.0,0.0,1.0,NaN,102,4,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676895,british and american music and culture,2,NaN,NaN,NaN,NaN,NaN,219,6,NaN
C_676897,modern etiquette and cultivation,2661,1168.0,927.0,14.0,227.0,NaN,97,NaN,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,2,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,2,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,2,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,2,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,9,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,9,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,9,NaN
C_676898,physics and the future of humanity,13122,1180.0,955.0,14.0,211.0,NaN,158,9,NaN
